,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware!!Total!!Estimate,District of Columbia!!Total!!Estimate,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
"9th to 12th grade, no diploma","336,209","27,838","329,737","157,422","1,490,563","190,423","125,464","43,023","19,309","941,420","573,777","37,386","78,373","484,096","318,636","103,318","105,443","251,197","324,966","44,796","233,980","233,446","462,152","158,977","204,734","293,170","40,833","64,429","145,924","43,243","289,795","123,362","811,877","492,078","24,588","536,844","228,546","166,850","550,799","51,436","297,397","35,990","342,178","1,289,130","106,476","22,345","322,121","248,981","114,357","204,662","21,895","190,984"
High school graduate,"1,227,414","163,309","1,296,969","783,969","5,840,951","934,199","697,037","223,099","79,066","4,458,010","2,202,403","288,593","395,084","2,355,277","1,710,659","725,030","562,679","1,144,359","1,156,466","337,161","1,103,365","1,209,240","2,269,404","1,027,529","678,805","1,466,969","242,975","367,660","635,718","304,494","1,668,898","420,036","3,504,154","2,051,375","153,708","3,010,831","936,483","751,740","3,376,424","233,325","1,154,329","196,788","1,694,311","5,146,350","537,706","139,640","1,620,065","1,296,115","560,264","1,382,585","123,672","750,460"
"Some college, no degree","864,875","134,736","1,347,636","527,677","6,166,591","940,972","508,582","155,563","81,572","3,314,474","1,687,200","225,808","346,568","2,019,068","1,088,667","554,222","528,851","723,475","779,681","224,216","899,864","899,709","1,830,650","941,272","519,382","1,055,933","212,884","342,403","559,790","222,400","1,179,692","378,366","2,514,874","1,761,444","140,112","1,898,071","690,078","844,657","1,731,971","167,169","850,223","144,014","1,165,920","4,567,119","624,929","98,986","1,329,246","1,317,157","270,025","968,528","114,773","424,793"
Associate's degree,"322,631","41,800","487,090","170,978","2,159,912","344,706","193,376","67,825","14,981","1,643,629","634,692","112,444","135,978","762,531","432,904","278,110","186,270","296,968","218,299","108,453","301,452","376,953","717,094","488,265","229,826","384,478","73,557","148,693","197,088","104,207","464,942","137,890","1,272,460","772,957","78,770","759,306","230,212","286,306","840,059","63,253","385,009","78,319","400,718","1,502,749","211,749","39,605","474,065","576,298","106,950","483,458","51,848","298,270"
Bachelor's degree,"600,174","100,041","1,005,325","342,983","5,807,051","1,141,289","607,988","146,329","129,313","3,169,234","1,533,519","226,182","261,813","1,991,687","881,953","468,032","449,118","520,607","545,224","230,021","978,076","1,288,660","1,387,362","1,031,551","324,774","870,873","181,716","305,855","383,935","254,562","1,646,280","239,762","3,144,708","1,626,020","121,880","1,612,518","498,431","690,259","1,963,721","172,041","737,155","133,106","967,659","4,041,817","489,621","127,286","1,425,934","1,270,115","191,085","922,112","76,496","517,329"
Graduate or professional degree,"366,228","55,729","599,620","185,068","3,327,635","667,663","451,723","101,048","166,955","1,839,235","937,276","128,034","127,720","1,219,829","454,611","203,336","250,026","336,469","292,734","138,272","808,918","956,121","821,034","497,612","181,366","501,137","94,166","152,957","201,059","155,365","1,004,843","198,113","2,306,853","908,863","44,445","917,736","243,940","400,220","1,222,924","115,745","419,677","57,428","525,337","2,063,479","245,940","82,890","1,027,016","711,543","123,896","436,346","41,518","188,305"
High school degree or higher,"3,381,322","495,615","4,736,640","2,010,675","23,302,140","4,028,829","2,458,706","693,864","471,887","14,424,582","6,995,090","981,061","1,267,163","8,348,392","4,568,794","2,228,730","1,976,944","3,021,878","2,992,404","1,038,123","4,091,675","4,730,683","7,025,544","3,986,229","1,934,153","4,279,390","805,298","1,317,568","1,977,590","1,041,028","5,964,655","1,374,167","12,743,049","7,120,659","538,915","8,198,462","2,599,144","2,973,182","9,135,099","751,533","3,546,393","609,655","4,753,945","17,321,514","2,109,945","488,407","5,876,326","5,171,228","1,252,220","4,193,029","408,307","2,179,157"
Bachelor's degree or higher,"966,402","155,770","1,604,945","528,051","9,134,686","1,808,952","1,059,711","247,377","296,268","5,008,469","2,470,795","354,216","389,533","3,211,516","1,336,564","671,368","699,144","857,076","837,958","368,293","1,786,994","2,244,781","2,208,396","1,529,163","506,140","1,372,010","275,882","458,812","584,994","409,927","2,651,123","437,875","5,451,561","2,534,883","166,325","2,530,254","742,371","1,090,479","3,186,645","287,786","1,156,832","190,534","1,492,996","6,105,296","735,561","210,176","2,452,950","1,981,658","314,981","1,358,458","118,014","705,634"
"Total Citizens, 18 years and older, for whom poverty status is determined","3,729,216","520,919","5,101,630","2,171,815","25,467,385","4,208,691","2,571,786","733,135","474,860","15,525,997","7,562,931","1,015,856","1,350,204","8,846,627","4,872,718","2,301,421","2,062,234","3,298,081","3,335,687","1,072,962","4,299,156","4,923,354","7,476,835","4,129,739","2,152,813","4,540,144","838,859","1,370,343","2,166,948","1,069,176","6,290,768","1,513,779","13,706,989","7,577,855","556,860","8,683,829","2,814,693","3,143,669","9,577,289","791,811","3,834,145","636,944","5,118,083","18,897,047","2,215,843","496,527","6,144,491","5,425,854","1,370,127","4,362,889","425,770","2,651,315"
Income in the past 12 months below poverty level,"528,456","50,901","555,047","310,680","2,646,794","369,618","236,540","71,912","70,510","1,768,968","900,282","103,844","140,427","933,822","524,345","240,980","225,760","485,326","572,734","113,446","374,181","452,077","873,423","354,873","358,262","523,672","94,323","134,623","268,004","71,828","517,629","244,198","1,642,267","889,515","61,382","1,022,816","381,382","363,733","1,014,426","80,308","492,977","71,762","622,133","2,151,840","189,803","50,073","550,224","488,350","216,712","432,163","44,899","992,929"
Income in the past 12 months at or above the poverty level,"3,200,760","470,018","4,546,583","1,861,135","22,820,591","3,839,073","2,335,246","661,223","404,350","13,757,029","6,662,649","912,012","1,209,777","7,912,805","4,348,373","2,060,441","1,836,474","2,812,755","2,762,953","959,516","3,924,975","4,471,277","6,603,412","3,774,866","1,794,551","4,016,472","744,536","1,235,720","1,898,944","997,348","5,773,139","1,269,581","12,064,722","6,688,340","495,478","7,661,013","2,433,311","2,779,936","8,562,863","711,503","3,341,168","565,182","4,495,950","16,745,207","2,026,040","446,454","5,594,267","4,937,504","1,153,415","3,930,726","380,871","1,658,386"
"Median Household Income for Households with a Citizen, Voting-Age Householder","54,168","78,112","70,181","52,589","88,600","83,247","85,347","70,477","92,036","64,211","67,096","86,494","67,050","72,901","62,889","65,735","64,510","55,825","52,204","64,941","91,212","91,469","63,274","78,268","48,843","61,991","63,339","67,607","67,473","88,616","91,416","55,109","75,685","62,210","66,803","62,327","56,270","72,070","69,093","75,424","59,546","66,351","59,979","69,494","80,516","72,596","81,265","84,276","51,340","67,347","65,130","22,317"
